Iteration,Cost,Temperature,Sequence
0,40,10,5 3 6 4 2 1
1,52,0,5 4 6 3 2 1
2,52,0,5 4 6 3 2 1
3,52,0,5 4 6 3 2 1
4,52,0,5 4 6 3 2 1
5,52,0,5 4 6 3 2 1
6,52,0,5 4 6 3 2 1
7,52,0,5 4 6 3 2 1
8,52,0,5 4 6 3 2 1
9,52,0,5 4 6 3 2 1
10,52,0,5 4 6 3 2 1
11,52,0,5 4 6 3 2 1
12,52,0,5 4 6 3 2 1
13,52,0,5 4 6 3 2 1
14,52,0,5 4 6 3 2 1
15,52,0,5 4 6 3 2 1
16,52,0,5 4 6 3 2 1
17,52,0,5 4 6 3 2 1
18,52,0,5 4 6 3 2 1
19,52,0,5 4 6 3 2 1
20,52,0,5 4 6 3 2 1
21,52,0,5 4 6 3 2 1
22,52,0,5 4 6 3 2 1
23,52,0,5 4 6 3 2 1
24,52,0,5 4 6 3 2 1
25,52,0,5 4 6 3 2 1
26,52,0,5 4 6 3 2 1
27,52,0,5 4 6 3 2 1
28,52,0,5 4 6 3 2 1
29,52,0,5 4 6 3 2 1
30,52,0,5 4 6 3 2 1
31,52,0,5 4 6 3 2 1
32,52,0,5 4 6 3 2 1
33,52,0,5 4 6 3 2 1
34,52,0,5 4 6 3 2 1
35,52,0,5 4 6 3 2 1
36,52,0,5 4 6 3 2 1
37,52,0,5 4 6 3 2 1
38,52,0,5 4 6 3 2 1
39,52,0,5 4 6 3 2 1
40,52,0,5 4 6 3 2 1
41,52,0,5 4 6 3 2 1
42,52,0,5 4 6 3 2 1
43,52,0,5 4 6 3 2 1
44,52,0,5 4 6 3 2 1
45,52,0,5 4 6 3 2 1
46,52,0,5 4 6 3 2 1
47,52,0,5 4 6 3 2 1
48,52,0,5 4 6 3 2 1
49,52,0,5 4 6 3 2 1
50,52,0,5 4 6 3 2 1
51,52,0,5 4 6 3 2 1
52,52,0,5 4 6 3 2 1
53,52,0,5 4 6 3 2 1
54,52,0,5 4 6 3 2 1
55,52,0,5 4 6 3 2 1
56,52,0,5 4 6 3 2 1
57,52,0,5 4 6 3 2 1
58,52,0,5 4 6 3 2 1
59,52,0,5 4 6 3 2 1
60,52,0,5 4 6 3 2 1
61,52,0,5 4 6 3 2 1
62,52,0,5 4 6 3 2 1
63,52,0,5 4 6 3 2 1
64,52,0,5 4 6 3 2 1
65,52,0,5 4 6 3 2 1
66,52,0,5 4 6 3 2 1
67,52,0,5 4 6 3 2 1
68,52,0,5 4 6 3 2 1
69,52,0,5 4 6 3 2 1
70,52,0,5 4 6 3 2 1
71,52,0,5 4 6 3 2 1
72,52,0,5 4 6 3 2 1
73,52,0,5 4 6 3 2 1
74,52,0,5 4 6 3 2 1
75,52,0,5 4 6 3 2 1
76,52,0,5 4 6 3 2 1
77,52,0,5 4 6 3 2 1
78,52,0,5 4 6 3 2 1
79,52,0,5 4 6 3 2 1
80,52,0,5 4 6 3 2 1
81,52,0,5 4 6 3 2 1
82,52,0,5 4 6 3 2 1
83,52,0,5 4 6 3 2 1
84,52,0,5 4 6 3 2 1
85,52,0,5 4 6 3 2 1
86,52,0,5 4 6 3 2 1
87,52,0,5 4 6 3 2 1
88,52,0,5 4 6 3 2 1
89,52,0,5 4 6 3 2 1
90,52,0,5 4 6 3 2 1
91,52,0,5 4 6 3 2 1
92,52,0,5 4 6 3 2 1
93,52,0,5 4 6 3 2 1
94,52,0,5 4 6 3 2 1
95,52,0,5 4 6 3 2 1
96,52,0,5 4 6 3 2 1
97,52,0,5 4 6 3 2 1
98,52,0,5 4 6 3 2 1
99,52,0,5 4 6 3 2 1
